City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
7,Ponta Do Sol,PT,65.01,scattered clouds,32.6667,-17.1,Hotel do Campo
8,Itaituba,BR,84.36,scattered clouds,-4.2761,-55.9836,Hotel Campos
9,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
12,Port Alfred,ZA,69.4,scattered clouds,-33.5906,26.891,The Halyards Hotel
15,Butaritari,KI,80.01,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
21,Sur,OM,82.18,clear sky,22.5667,59.5289,Sur Plaza Hotel
23,Alyangula,AU,73.27,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
25,Jatai,BR,80.74,broken clouds,-17.8814,-51.7144,Hotel Califórnia
26,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
28,Rikitea,PF,79.27,light rain,-23.1203,-134.9692,People ThankYou
30,Kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,San Juan,AR,69.39,clear sky,-31.5375,-68.5364,Hotel Provincial
46,Kutum,SD,71.35,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
48,Vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
50,Hithadhoo,MV,83.77,clear sky,-0.6,73.0833,Scoop Guest House
52,Cidreira,BR,74.61,overcast clouds,-30.1811,-50.2056,Hotel Castelo
55,Mabaruma,GY,77.81,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
58,Chunian,PK,72.05,clear sky,30.964,73.9803,Mitho Teeqia Wala
59,Auki,SB,75.69,overcast clouds,-8.7676,160.7034,Auki Motel
62,Ibra,OM,76.26,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
64,Biak,ID,76.08,overcast clouds,-0.9131,122.8766,Penginapan Kim
66,Dalbandin,PK,72.0,clear sky,28.8947,64.4101,Sanjrani House
67,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
68,Corn Island,NI,81.73,overcast clouds,12.1694,-83.0418,Big Fish Guest House
71,Payo,ID,74.95,overcast clouds,-3.7508,103.6372,Mess keban agung
73,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
74,Prieska,ZA,72.5,clear sky,-29.6641,22.7474,Avenue GuestHouse
77,Pelotas,BR,84.22,broken clouds,-31.7719,-52.3425,Hotéis Jacques Georges Tower
80,Buchanan,LR,80.74,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
83,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Bengkulu,ID,75.67,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,Hilo,US,76.73,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
89,Tessalit,ML,83.41,scattered clouds,20.1986,1.0114,
90,Rawatsar,IN,80.26,clear sky,29.2833,74.3833,Honda Service Center
91,Salinopolis,BR,78.21,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
96,Itanhem,BR,78.76,overcast clouds,-17.1664,-40.33,Hotel Resende
97,Sao Filipe,CV,71.19,clear sky,14.8961,-24.4956,Hotel Xaguate
100,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
102,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
104,Galesong,ID,73.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
105,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
109,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
111,Sao Gabriel Da Cachoeira,BR,82.71,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
112,Lima,PE,74.39,clear sky,-12.0432,-77.0282,Hotel Kamana
113,Port Elizabeth,ZA,69.1,clear sky,-33.918,25.5701,39 On Nile Guest House
114,Rusape,ZW,67.21,overcast clouds,-18.5278,32.1284,Surrey Lodge
117,Sola,VU,72.27,scattered clouds,-13.8833,167.55,Leumerus Bungalows
120,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
125,Dicabisagan,PH,76.96,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
126,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
129,Calvinia,ZA,66.7,clear sky,-31.4707,19.776,Die Lemoenhuis
130,Geraldton,AU,84.61,few clouds,-28.7667,114.6,Broadwater Mariner Resort
134,Atuona,PF,79.43,overcast clouds,-9.8,-139.0333,Villa Enata
135,Faanui,PF,80.62,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Guerrero Negro,MX,81.1,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
138,Teahupoo,PF,71.53,scattered clouds,-17.8333,-149.2667,Vanira Lodge
146,Adrar,MR,78.75,clear sky,20.5022,-10.0711,
148,Yenangyaung,MM,76.37,scattered clouds,20.4667,94.8833,Hotel Country
150,Yeppoon,AU,69.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
153,Phalaborwa,ZA,79.45,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
155,Kapoeta,SS,80.19,overcast clouds,4.7717,33.5903,Eastgate Hotel
157,Constitucion,CL,66.52,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
158,Nouadhibou,MR,69.78,sand,20.931,-17.0347,El Medina
161,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
165,Taltal,CL,69.26,few clouds,-25.4,-70.4833,Residencial Karime
167,Micheweni,TZ,82.4,few clouds,-4.9667,39.8333,
168,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,Austral Hotel
171,Prescott,US,71.29,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
172,Bowen,AU,69.04,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
176,Rocha,UY,73.13,broken clouds,-34.4833,-54.3333,Hotel Arrarte
181,Miracema Do Tocantins,BR,83.14,heavy intensity rain,-9.5618,-48.3967,Miami Apart Hotel
185,Castro,BR,72.68,light rain,-24.7911,-50.0119,CHACARA BAILLY
187,Malakwal,PK,70.83,clear sky,32.5536,73.2123,Green Town
190,Vila Do Maio,CV,75.99,clear sky,15.1333,-23.2167,Hotel Marilu
193,Itarema,BR,82.83,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
196,Xuddur,SO,81.66,overcast clouds,4.1213,43.8894,Banjanay Hotel
197,Kitgum,UG,71.13,light rain,3.2783,32.8867,Jaflo Gardens Hotel
