City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-03-19 01:52:21,-46.1927,168.8643,72.48,41,100,5.68
1,Bredasdorp,ZA,2022-03-19 01:52:21,-34.5322,20.0403,66.97,96,62,7.63
2,Berbera,SO,2022-03-19 01:52:22,10.4396,45.0143,74.91,74,1,3.96
3,Ushuaia,AR,2022-03-19 01:52:22,-54.8,-68.3,38.86,75,40,9.22
4,Ternate,ID,2022-03-19 01:52:22,0.8,127.4,85.03,69,100,1.66
5,Avarua,CK,2022-03-19 01:52:23,-21.2078,-159.775,84.25,74,70,5.75
6,Victoria,HK,2022-03-19 01:47:50,22.2855,114.1577,79.97,87,50,15.99
7,Little Current,CA,2022-03-19 01:52:23,45.9793,-81.9248,41.05,92,100,12.53
8,Yulara,AU,2022-03-19 01:52:24,-25.2406,130.9889,91.24,24,40,8.05
9,Tuatapere,NZ,2022-03-19 01:52:24,-46.1333,167.6833,68.47,47,100,4.38
10,Bilibino,RU,2022-03-19 01:52:24,68.0546,166.4372,3.51,66,16,2.04
11,Hobart,AU,2022-03-19 01:52:25,-42.8794,147.3294,69.22,55,20,4.61
12,Carnarvon,AU,2022-03-19 01:52:25,-24.8667,113.6333,82.47,57,0,14.97
13,Cape Town,ZA,2022-03-19 01:51:01,-33.9258,18.4232,65.1,84,0,13.8
14,Imeni Morozova,RU,2022-03-19 01:52:25,59.9757,31.0376,34.95,1,30,4.52
15,Hithadhoo,MV,2022-03-19 01:52:26,-0.6,73.0833,83.12,75,100,15.68
16,Matamoros,MX,2022-03-19 01:52:26,25.5333,-103.25,67.66,16,47,9.08
17,Yerbogachen,RU,2022-03-19 01:52:26,61.2767,108.0108,10.51,92,100,10.78
18,Vaini,TO,2022-03-19 01:52:27,-21.2,-175.2,81.5,77,100,25.41
19,Cidreira,BR,2022-03-19 01:52:27,-30.1811,-50.2056,77.05,76,100,6.06
20,Pevek,RU,2022-03-19 01:52:28,69.7008,170.3133,-8.19,84,18,9.48
21,Andros Town,BS,2022-03-19 01:52:28,24.7,-77.7667,76.96,78,0,14.85
22,Moyale,KE,2022-03-19 01:52:28,3.5167,39.0584,67.12,60,82,4.03
23,Tukrah,LY,2022-03-19 01:52:29,32.5341,20.5791,53.71,71,76,23.53
24,Dudinka,RU,2022-03-19 01:52:29,69.4058,86.1778,22.62,96,100,13.38
25,Buala,SB,2022-03-19 01:52:29,-8.145,159.5921,84.36,69,95,4.41
26,Canyon,US,2022-03-19 01:52:30,34.9803,-101.9188,52.05,31,13,4.14
27,Sao Filipe,CV,2022-03-19 01:52:30,14.8961,-24.4956,70.34,72,64,10.69
28,Olafsvik,IS,2022-03-19 01:52:31,64.8945,-23.7142,35.02,61,100,4.16
29,Georgetown,MY,2022-03-19 01:50:05,5.4112,100.3354,87.73,82,20,4.61
30,Hasaki,JP,2022-03-19 01:52:31,35.7333,140.8333,59.29,52,30,8.88
31,Yellowknife,CA,2022-03-19 01:52:31,62.456,-114.3525,16.32,79,75,4.61
32,Otavi,NA,2022-03-19 01:52:32,-19.65,17.3333,59.81,91,36,12.06
33,Puerto Maldonado,PE,2022-03-19 01:52:32,-12.6,-69.1833,74.89,94,100,2.19
34,Kavaratti,IN,2022-03-19 01:50:36,10.5669,72.642,83.1,67,99,9.13
35,Ancud,CL,2022-03-19 01:52:32,-41.8697,-73.8203,48.22,78,100,6.71
